"","sample","site","date","species","nReads","Hash","kingdom","phylum","class","order","family","genus","EarlyLifeMinerology","AdultMinerology","reliability.minerology","trophic_level_fv","group_fv","benthos"
"1352","LK_201706","LK","_201706","Acrochaetium moniliforme",22,"b099e5c847b208a8d0570e5039b88cfaeddb5ad3","Rhodophyta","Florideophyceae","Florideophyceae","Acrochaetiales","Acrochaetiaceae","Acrochaetium","No mineralization","No mineralization","genus","undetermined","undetermined","BEN"
"1353","LK_201706","LK","_201706","Aequorea sp. MW-2012",10526,"d4c58ed2321d851506d134e774c177f96b037520","Metazoa","Cnidaria","Hydrozoa","Leptothecata","Aequoreidae","Aequorea","No mineralization","No mineralization","genus","undetermined","undetermined","PLK"
"1354","LK_201706","LK","_201706","Asterionellopsis tropicalis",14,"b9d0ea5aedd20587ed0915a9d0db054403e12ee6","Stramenopiles","Bacillariophyta","Fragilariophyceae","Fragilariales","Fragilariaceae","Asterionellopsis","Non-CaCO3 mineral","Non-CaCO3 mineral","genus","1","algae, brown","PLK"
"1355","LK_201706","LK","_201706","Attheya longicornis",28,"223a220178734017a25d5932cf30f478aae29b05","Stramenopiles","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Attheyaceae","Attheya",NA,NA,NA,"1","diatom","PLK"
"1356","LK_201706","LK","_201706","Aurelia labiata",33573,"93c5f99035437b05677ed16d83bdbaf5a0dbd2a5","Metazoa","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Aurelia","Non-CaCO3 mineral","Non-CaCO3 mineral","species","3","jelly, jellyfish","Both"
"1357","LK_201706","LK","_201706","Bathycoccus prasinos",3687,"11a112ced1c85e620f6d97d82281a1bb58614e67","Viridiplantae","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus",NA,NA,NA,"1","algae","PLK"
"1358","LK_201706","LK","_201706","Calanus pacificus",668,"ebaccffde6849cb6c317f6d2e476b5e202c7fadf","Metazoa","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus","No mineralization","No mineralization","species","3","copepod","PLK"
"1359","LK_201706","LK","_201706","Callithamnion pikeanum",59,"f58c3cbf955b786acc9189963d32874cf03fc439","Rhodophyta","Florideophyceae","Florideophyceae","Ceramiales","Ceramiaceae","Callithamnion","No mineralization","No mineralization","species","undetermined","undetermined","BEN"
"1360","LK_201706","LK","_201706","Chaetoceros socialis",2369,"cc31829956f99898e6346ea28c395954ce5c56a9","Stramenopiles","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Non-CaCO3 mineral","Non-CaCO3 mineral","species","1","diatom","PLK"
"1361","LK_201706","LK","_201706","Chattonella subsalsa",1357,"135564e9c33f7abcb19bbdbfc571af0ea2c77f82","Stramenopiles","Raphidophyceae","Raphidophyceae","Chattonellales","Chattonellaceae","Chattonella","No mineralization","No mineralization","family","1","algae","PLK"
"1362","LK_201706","LK","_201706","Chordariaceae sp. 2 AP-2014",11,"53eeef35c10dfc4424a4a7e139ab760f981c1a98","Stramenopiles","Phaeophyceae","Phaeophyceae","Ectocarpales","Chordariaceae",NA,"No mineralization","No mineralization","family","1","algae, brown","BEN"
"1363","LK_201706","LK","_201706","Chordariaceae sp. 7 AP-2014",120,"0d853eb8a50289d28bf7d1e8026c5ab32a95560c","Stramenopiles","Phaeophyceae","Phaeophyceae","Ectocarpales","Chordariaceae",NA,"No mineralization","No mineralization","family","1","algae, brown","BEN"
"1364","LK_201706","LK","_201706","Chrysaora melanaster",19,"06400fe697d75160ec54a3513115a9a143472b7d","Metazoa","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora","Non-CaCO3 mineral","Non-CaCO3 mineral","genus","3","jelly, jellyfish","PLK"
"1365","LK_201706","LK","_201706","Clytia gracilis",371,"04daae6aa6d49035d987605bdbf51576784e7d1c","Metazoa","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Clytia","No mineralization","No mineralization","genus","3","hydrozoan","Both"
"1366","LK_201706","LK","_201706","Corallina vancouveriensis",12,"43753f4ea280874a1df46682d8919b98ea0b7dfb","Rhodophyta","Florideophyceae","Florideophyceae","Corallinales","Corallinaceae","Corallina","No mineralization","High Mg Calcite","species","3","algae, red","BEN"
"1367","LK_201706","LK","_201706","Coscinodiscus wailesii",84,"87d36b743aa038ef851a63d5a6c337fadcdc8b8f","Stramenopiles","Bacillariophyta","Coscinodiscophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Non-CaCO3 mineral","Non-CaCO3 mineral","species","1","diatom","PLK"
"1368","LK_201706","LK","_201706","Cylindrotheca closterium",1471,"c5cbf370a4a5071e8fcff0863048524a4f0c1698","Stramenopiles","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Non-CaCO3 mineral","Non-CaCO3 mineral","species","1","diatom","BEN"
"1369","LK_201706","LK","_201706","Cystoseira geminata",2006,"1d2ff288402489b5ced41d788ce606072affd770","Stramenopiles","Phaeophyceae","Phaeophyceae","Fucales","Sargassaceae","Cystoseira","No mineralization","No mineralization","species","1","algae, brown","BEN"
"1370","LK_201706","LK","_201706","Dictyocha speculum",57,"a0a06ae521f5443dc1addd27a59dd47cdc0c6a61","Stramenopiles","Dictyochophyceae","Dictyochophyceae","Dictyochales",NA,"Dictyocha","No mineralization","No mineralization","species","undetermined","flagellate","PLK"
"1371","LK_201706","LK","_201706","Ditylum brightwellii",533,"a318b5b4b76abc8a009bff4063cc65f94f68f7b6","Stramenopiles","Bacillariophyta","Mediophyceae","Lithodesmiales","Lithodesmiaceae","Ditylum","Non-CaCO3 mineral","Non-CaCO3 mineral","species","1","algae","PLK"
"1372","LK_201706","LK","_201706","Dodecaceria sp. CMC01",17,"b3d6bdb1b90236c17bbf72dc8cda864e031ee959","Metazoa","Annelida","Polychaeta","Spionida","Cirratulidae","Dodecaceria","No mineralization","Aragonite","genus","3, worm","polychaete","BEN"
"1373","LK_201706","LK","_201706","Fucus distichus",32,"2ab67b2fda0e32aed8092f56d51213601b7999a9","Stramenopiles","Phaeophyceae","Phaeophyceae","Fucales","Fucaceae","Fucus","No mineralization","No mineralization","species","undetermined","undetermined","BEN"
"1374","LK_201706","LK","_201706","Gomphonema clevei",8,"9422e03ead34645fb79123aae2e8d505a71fc1a2","Stramenopiles","Bacillariophyta","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema",NA,NA,NA,"1","algae","BEN"
"1375","LK_201706","LK","_201706","Grammonema striatula",8276,"e76c4d005a5220e71b2798ac024032cd984d4af0","Stramenopiles","Bacillariophyta","Fragilariophyceae","Fragilariales","Fragilariaceae","Grammonema","Non-CaCO3 mineral","Non-CaCO3 mineral","family","1","algae, brown","PLK"
"1376","LK_201706","LK","_201706","Gymnodinium sp. NVA/RUS/2008",141,"e25b2d2217c35bba3abd7abf985adc41d7ccfd72","Dinoflagellates","Dinophyceae","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","No mineralization","No mineralization","genus","2","flagellate","BEN"
