sample,species,nReads
CP_201707,Thalassionema nitzschioides,2
CP_201707,Thalassiosira nordenskioeldii,1523
CP_201707,Thecamonas trahens,40
CP_201707,Thelepus sp. CMC01,8545
CP_201707,Tresus capax,211
CP_201707,Triparma laevis,510
CP_201707,Wildemania amplissima,18
CP_201707,Wildemania sp. 5POR,215
CP_201707,NA,182608
CP_201708,Acartia californiensis,79
CP_201708,Acartia longiremis,8443
CP_201708,Aequorea sp. MW-2012,17
CP_201708,Arca avellana,71
CP_201708,Asterionellopsis glacialis,160
CP_201708,Asterionellopsis guyunusae,17
CP_201708,Asterionellopsis tropicalis,19
CP_201708,Attheya longicornis,239
CP_201708,Azumapecten farreri,12
CP_201708,Bathycoccus prasinos,2623
CP_201708,Blastocladiella emersonii,86
CP_201708,Bougainvillia muscus,81
CP_201708,Brachionidae sp. SHYT150702c,19
CP_201708,Calanus pacificus,91
CP_201708,Centropages abdominalis,3
CP_201708,Chaetoceros socialis,1253
CP_201708,Chaetoceros sp. MBTD-CMFRI-S062,5801
CP_201708,Chattonella subsalsa,129
CP_201708,Chondracanthus exasperatus,58
CP_201708,Chrysochromulina sp. CCMP291,97
CP_201708,Compsomyax subdiaphana,4
CP_201708,Coryne eximia,98
CP_201708,Coscinodiscus wailesii,152
CP_201708,Cylindrotheca closterium,26
CP_201708,Dictyocha speculum,2051
CP_201708,Emiliania huxleyi,48
CP_201708,Eucampia zodiacus,30
CP_201708,Glycera sp. CMC03,13520
CP_201708,Heterocapsa rotundata,122
CP_201708,Hincksia hincksiae,3
CP_201708,Loxothylacus panopaei,73
CP_201708,Macoma nasuta,556
CP_201708,Mazzaella splendens,51
CP_201708,Membranipora membranacea,163
CP_201708,Micromonas pusilla,7093
CP_201708,Minutocellus polymorphus,13626
CP_201708,Muggiaea atlantica,58
CP_201708,Mytilus trossulus,171
CP_201708,Paracalanus sp. C AC-2013,168
CP_201708,Phaeocystis antarctica,29959
CP_201708,Phaeocystis globosa,145
CP_201708,Poteriospumella lacustris,14
CP_201708,Proboscidactyla flavicirrata,2
CP_201708,Protoperidinium cf. depressum,181
CP_201708,Pseudo-nitzschia delicatissima,58
CP_201708,Pseudo-nitzschia hasleana,1060
CP_201708,Pseudocalanus moultoni,4
CP_201708,Pseudocalanus newmani,25189
CP_201708,Pseudochattonella farcimen,20
CP_201708,Pycnococcus provasolii,83
CP_201708,Pythium sp. CAL-2011c,3
CP_201708,Pythium tracheiphilum,553
CP_201708,Rhizosolenia setigera,2301
CP_201708,Saxidomus gigantea,24
CP_201708,Sellaphora bacillum,362
