sample,species,nReads
LL_201709,Prasinoderma coloniale,266
LL_201709,Protoperidinium cf. depressum,21
LL_201709,Pseudochattonella farcimen,483
LL_201709,Pycnococcus provasolii,104
LL_201709,Pythium sp. CAL-2011c,8
LL_201709,Pythium tracheiphilum,197
LL_201709,Rhizosolenia setigera,12
LL_201709,Ruditapes philippinarum,187
LL_201709,Saprolegnia diclina,210
LL_201709,Saxidomus gigantea,119
LL_201709,Skeletonema dohrnii,39
LL_201709,Thalassionema nitzschioides,110
LL_201709,Thalassiosira nordenskioeldii,1468
LL_201709,Thalassiosira punctigera,170
LL_201709,Thecamonas trahens,8
LL_201709,Triparma laevis,1041
LL_201709,NA,332023
LL_201710,Balanus glandula,1767
LL_201710,Chrysochromulina sp. CCMP291,136
LL_201710,Chthamalus dalli,713
LL_201710,Cylindrotheca closterium,1252
LL_201710,Leathesia marina,218
LL_201710,Lichtheimia ramosa,86
LL_201710,Melosira nummuloides,29
LL_201710,Micromonas pusilla,3108
LL_201710,Minutocellus polymorphus,3847
LL_201710,Muggiaea atlantica,123
LL_201710,Navicula cryptocephala,309
LL_201710,Oncorhynchus keta,11
LL_201710,Phytophthora taxon paludosa,35
LL_201710,Pseudochattonella farcimen,150
LL_201710,Pythium periplocum,144
LL_201710,Rhizosolenia setigera,60
LL_201710,Skeletonema dohrnii,149
LL_201710,Thalassiosira punctigera,20
LL_201710,Triparma laevis,317
LL_201710,NA,108283
LL_201711,Acartia longiremis,382
LL_201711,Articulospora tetracladia,219
LL_201711,Asterionellopsis guyunusae,6
LL_201711,Balanus glandula,7
LL_201711,Bathycoccus prasinos,3
LL_201711,Bothrioneurum vejdovskyanum,31
LL_201711,Bursaphelenchus cocophilus,25
LL_201711,Caulacanthus ustulatus,118
LL_201711,Centropages abdominalis,214
LL_201711,Chaetoceros socialis,282
LL_201711,Cladophialophora bantiana,4
LL_201711,Cliona chilensis,9
LL_201711,Clytia gracilis,5
LL_201711,Cochliopodium larifeili,12
LL_201711,Coscinodiscus wailesii,445
LL_201711,Cylindrotheca closterium,61
LL_201711,Dasybranchus sp. DH1,2
LL_201711,Dinobryon divergens,8
LL_201711,Ditylum brightwellii,80
LL_201711,Emiliania huxleyi,146
LL_201711,Euclymene sp. BOLD:ACG1020,2
LL_201711,Glarea lozoyensis,14
LL_201711,Gracilaria vermiculophylla,63
LL_201711,Haramonas dimorpha,2694
LL_201711,Hartmannella cantabrigiensis,3
LL_201711,Hildenbrandia sp. 27GWS,7
LL_201711,Homo sapiens,20
LL_201711,Leathesia marina,5
LL_201711,Lottia paradigitalis,700
LL_201711,Melosira nummuloides,221
LL_201711,Micromonas pusilla,99
LL_201711,Minutocellus polymorphus,191
LL_201711,Mytilus trossulus,55
LL_201711,Navicula cryptocephala,4
LL_201711,Nuttallia olivacea,3
LL_201711,Octolasion tyrtaeum,5
LL_201711,Oncorhynchus keta,7758
LL_201711,Pedospumella encystans,76
LL_201711,Pedospumella sinomuralis,13
LL_201711,Phaeocystis antarctica,6
LL_201711,Phytophthora bilorbang,123
LL_201711,Phytophthora multivora,4
LL_201711,Poteriospumella lacustris,3
LL_201711,Pseudocalanus newmani,28
LL_201711,Pseudochattonella farcimen,12
LL_201711,Psocoptera sp. BOLD:ACB0984,51
LL_201711,Pycnococcus provasolii,3
LL_201711,Pythium contiguanum,24
LL_201711,Pythium tracheiphilum,103
LL_201711,Rhizosolenia setigera,85
LL_201711,Ruditapes philippinarum,2
LL_201711,Skeletonema dohrnii,29
LL_201711,Synchaetomella acerina,6
LL_201711,Thalassiosira nordenskioeldii,61
LL_201711,Thalassiosira punctigera,866
LL_201711,Thelepus sp. CMC01,439
LL_201711,NA,95934
LL_201801,Balanus balanus,6
LL_201801,Balanus glandula,453
LL_201801,Bathycoccus prasinos,97186
LL_201801,Chaetoceros socialis,1129
LL_201801,Chattonella subsalsa,2263
LL_201801,Chordariaceae sp. 7 AP-2014,79
LL_201801,Chrysaora melanaster,1266
LL_201801,Dictyocha speculum,929
LL_201801,Ditylum brightwellii,691
LL_201801,Emiliania huxleyi,6
LL_201801,Heterocapsa rotundata,108
LL_201801,Hincksia hincksiae,2224
LL_201801,Homo sapiens,287
LL_201801,Littorina plena,4020
LL_201801,Melosira nummuloides,1415
LL_201801,Micromonas pusilla,62132
LL_201801,Minutocellus polymorphus,13451
LL_201801,Mytilus trossulus,10
LL_201801,Nitzschia cf. promare,75
LL_201801,Ostrea lurida,4
LL_201801,Phaeocystis antarctica,6412
LL_201801,Phaeocystis globosa,329
LL_201801,Poteriospumella lacustris,5
LL_201801,Pycnococcus provasolii,176
LL_201801,Pyramimonas parkeae,373
LL_201801,Pythium pachycaule,24
LL_201801,Skeletonema dohrnii,276
LL_201801,Skeletonema japonicum,63
LL_201801,Thalassionema nitzschioides,239
LL_201801,Thalassiosira nordenskioeldii,2081
LL_201801,Triparma laevis,586
LL_201801,NA,107654
LL_201803,Albugo candida,29
LL_201803,Attheya longicornis,106
LL_201803,Balanus glandula,52
LL_201803,Bathycoccus prasinos,1400
LL_201803,Brachionidae sp. SHYT150702c,214
LL_201803,Chaetoceros socialis,7
LL_201803,Chaetoceros sp. MBTD-CMFRI-S045,30
LL_201803,Chattonella subsalsa,10207
LL_201803,Chordariaceae sp. 7 AP-2014,179
LL_201803,Cliona chilensis,22
LL_201803,Cylindrotheca closterium,1893
LL_201803,Dictyocha speculum,462
LL_201803,Ditylum brightwellii,292
LL_201803,Evasterias troschelii,22
LL_201803,Gracilaria vermiculophylla,669
LL_201803,Haramonas dimorpha,32
LL_201803,Homo sapiens,408
LL_201803,Leathesia marina,47
LL_201803,Leuckartiara octona,21
LL_201803,Littorina plena,7624
LL_201803,Lottia paradigitalis,106
LL_201803,Melosira nummuloides,214
LL_201803,Micromonas pusilla,500
LL_201803,Minutocellus polymorphus,914
LL_201803,Muggiaea atlantica,448
LL_201803,Navicula cryptocephala,214
LL_201803,Navicula sp. BOLD:AAO6949,12
LL_201803,Navicula sp. BOLD:AAO6951,36
LL_201803,Nitzschia cf. promare,1932
LL_201803,Paracalanus sp. C AC-2013,12
LL_201803,Parvamoeba rugata,85
LL_201803,Peltogaster paguri,38
LL_201803,Phaeocystis antarctica,4
LL_201803,Plagiogramma sp. IAL-2014a,36
LL_201803,Podosira stelligera,43
LL_201803,Polydora cornuta,531
LL_201803,Poteriospumella lacustris,51
LL_201803,Protoperidinium cf. depressum,50
LL_201803,Pseudochattonella farcimen,738
LL_201803,Pythium tracheiphilum,283
LL_201803,Rhizosolenia setigera,5635
LL_201803,Salispina spinosa,12
LL_201803,Skeletonema dohrnii,21
LL_201803,Skeletonema japonicum,26
LL_201803,Thalassionema nitzschioides,123
LL_201803,Thalassiosira nordenskioeldii,8052
LL_201803,Thalassiosira punctigera,108
LL_201803,NA,311398
LL_201805,Amphicaryon earnesti,40
LL_201805,Balanus glandula,4
LL_201805,Bathycoccus prasinos,86
LL_201805,Brachionidae sp. SHYT150702c,70
LL_201805,Calanus pacificus,64
LL_201805,Callithamnion corymbosum,16
LL_201805,Caulacanthus ustulatus,563
LL_201805,Ceramium sp. 3Cal,1686
LL_201805,Chaetoceros socialis,40
LL_201805,Chattonella subsalsa,383
LL_201805,Chrysochromulina sp. CCMP291,141
LL_201805,Chthamalus dalli,10026
LL_201805,Cliona chilensis,209
LL_201805,Coscinodiscus wailesii,1116
LL_201805,Cylindrotheca closterium,669
LL_201805,Dictyocha speculum,245
LL_201805,Ditylum brightwellii,50
LL_201805,Dolichomastix tenuilepis,5
LL_201805,Emiliania huxleyi,125
LL_201805,Harpacticoida sp. DNZ085,15039
LL_201805,Hematodinium sp.,621
LL_201805,Ismaila chaihuiensis,1562
LL_201805,Kellia porculus,1901
LL_201805,Lichtheimia ramosa,44
LL_201805,Littorina plena,3859
LL_201805,Lomentaria hakodatensis,55
LL_201805,Lottia paradigitalis,139
LL_201805,Loxothylacus panopaei,1380
LL_201805,Mayamaea permitis,30
LL_201805,Melosira nummuloides,37
LL_201805,Micromonas pusilla,6012
LL_201805,Minutocellus polymorphus,1169
LL_201805,Navicula cryptocephala,225
LL_201805,Nitzschia cf. promare,104
LL_201805,Nitzschia longissima,49
LL_201805,Ostrea lurida,142
LL_201805,Paracalanus sp. C AC-2013,1073
LL_201805,Parvamoeba rugata,106
LL_201805,Pedospumella sinomuralis,37
LL_201805,Penicillium rubens,206
LL_201805,Phyllodoce medipapillata,251
LL_201805,Phytophthora multivora,73
LL_201805,Pinnularia sp. 5 CS-2011,212
LL_201805,Platynereis sp. CMC02,2107
LL_201805,Podosira stelligera,439
LL_201805,Porichthys notatus,869
LL_201805,Pseudochattonella farcimen,457
LL_201805,Pycnococcus provasolii,85
LL_201805,Pyropia haitanensis,4
LL_201805,Pythium tracheiphilum,366
LL_201805,Rhizosolenia setigera,1623
LL_201805,Rhodotorula taiwanensis,34
LL_201805,Saprolegnia diclina,87
LL_201805,Thalassiosira nordenskioeldii,1755
LL_201805,Thalassiosira punctigera,769
LL_201805,Triparma laevis,1002
LL_201805,NA,245064
LL_201807,Asterionellopsis guyunusae,210
LL_201807,Attheya longicornis,7
LL_201807,Balanus balanus,1301
LL_201807,Bathycoccus prasinos,1333
LL_201807,Calanus pacificus,317
LL_201807,Callithamnion corymbosum,120
LL_201807,Centropages abdominalis,4
LL_201807,Ceramium sp. 3Cal,212
LL_201807,Chrysochromulina sp. CCMP291,37
LL_201807,Cliona chilensis,34490
LL_201807,Cochliopodium larifeili,10
LL_201807,Cylindrotheca closterium,7791
LL_201807,Dasybranchus sp. DH1,62
LL_201807,Dictyocha speculum,6
LL_201807,Emiliania huxleyi,10429
LL_201807,Gelidium vagum,50
LL_201807,Halichondria panicea,193
LL_201807,Halicyclops itohi,23
LL_201807,Halophytophthora avicenniae,3
LL_201807,Hemigrapsus oregonensis,20
LL_201807,Homo sapiens,274
LL_201807,Lichtheimia ramosa,11
LL_201807,Littorina plena,2336
LL_201807,Mayamaea permitis,34
LL_201807,Micromonas pusilla,13130
LL_201807,Minutocellus polymorphus,72367
LL_201807,Navicula cryptocephala,556
LL_201807,Nuttallia olivacea,518
LL_201807,Obelia bidentata,122
LL_201807,Ostrea lurida,3883
LL_201807,Paracalanus sp. C AC-2013,21
LL_201807,Parvamoeba rugata,25
LL_201807,Phaeocystis antarctica,356
LL_201807,Plagiogramma sp. IAL-2014a,16
LL_201807,Podosira stelligera,1134
LL_201807,Polycirrus sp. CMC05,16080
LL_201807,Porichthys notatus,467
LL_201807,Poteriospumella lacustris,310
LL_201807,Pseudochattonella farcimen,465
LL_201807,Pycnococcus provasolii,13477
LL_201807,Rhizosolenia setigera,207
LL_201807,Saprolegnia diclina,16
LL_201807,Sarocladium implicatum,398
LL_201807,Saxidomus gigantea,12
LL_201807,Skeletonema dohrnii,15
LL_201807,Sphacelaria sp. 2 AP-2014,71
LL_201807,Thalassionema nitzschioides,2682
LL_201807,Thalassiosira nordenskioeldii,149
LL_201807,Thalassiosira punctigera,1058
LL_201807,Triparma laevis,82
LL_201807,NA,172442
PO_201703,Alitta sp. CMC01,31
PO_201703,Balanus glandula,4020
PO_201703,Barantolla americana CMC01,83362
PO_201703,Bathycoccus prasinos,1093609
PO_201703,Centropages abdominalis,32245
PO_201703,Chaetoceros socialis,1931
PO_201703,Chattonella subsalsa,2151
PO_201703,Chordariaceae sp. 7 AP-2014,932
PO_201703,Chrysochromulina sp. CCMP291,23
PO_201703,Coscinodiscus wailesii,11
PO_201703,Cylindrotheca closterium,435
PO_201703,Dictyocha speculum,3740
PO_201703,Ditylum brightwellii,23
PO_201703,Ectocarpus siliculosus,91
PO_201703,Emiliania huxleyi,111
PO_201703,Gomphonema clevei,2
PO_201703,Gracilaria vermiculophylla,112
PO_201703,Hartmannella cantabrigiensis,4
PO_201703,Hemigrapsus oregonensis,2
PO_201703,Heterocapsa rotundata,857
PO_201703,Hildenbrandia sp. 27GWS,9
PO_201703,Hincksia hincksiae,17
PO_201703,Homo sapiens,9586
PO_201703,Karlodinium veneficum,74
PO_201703,Leitoscoloplos pugettensis CMC01,11
PO_201703,Littorina plena,44
PO_201703,Lottia paradigitalis,60
PO_201703,Melosira nummuloides,473
PO_201703,Micromonas pusilla,289571
PO_201703,Minutocellus polymorphus,15395
PO_201703,Navicula cryptocephala,124
PO_201703,Nitzschia cf. promare,70
PO_201703,Orthocladius sp. BOLD-2016,38
PO_201703,Pectinaria granulata CMC01,11
PO_201703,Pedospumella sinomuralis,8
PO_201703,Peronospora violae,5
PO_201703,Phaeocystis antarctica,412261
PO_201703,Phaeocystis globosa,43
PO_201703,Phoronopsis harmeri,3
PO_201703,Pinnularia sp. 5 CS-2011,48
PO_201703,Platichthys stellatus,82
PO_201703,Poteriospumella lacustris,8718
PO_201703,Pseudocalanus newmani,33
PO_201703,Pseudochattonella farcimen,275
PO_201703,Pyramimonas parkeae,673
PO_201703,Pythium pachycaule,11
PO_201703,Pythium sp. CAL-2011c,27
PO_201703,Pythium tracheiphilum,4
PO_201703,Rhizosolenia setigera,55
PO_201703,Ruditapes philippinarum,6
PO_201703,Scopalina ruetzleri,13
PO_201703,Skeletonema dohrnii,70
PO_201703,Stelligera rigida,101
PO_201703,Thalassionema nitzschioides,31
PO_201703,Thalassiosira nordenskioeldii,2547
PO_201703,Triparma laevis,98041
PO_201703,NA,446687
PO_201705,Acartia longiremis,338
PO_201705,Aequorea sp. MW-2012,5
PO_201705,Albugo candida,14
PO_201705,Attheya longicornis,948
PO_201705,Bathycoccus prasinos,160
PO_201705,Brachionidae sp. SHYT150702c,96
PO_201705,Calanus pacificus,175
PO_201705,Centropages abdominalis,185012
PO_201705,Chaetoceros socialis,7422
PO_201705,Chrysochromulina sp. CCMP291,351
PO_201705,Chthamalus dalli,371
PO_201705,Citharichthys sordidus,29
PO_201705,Cylindrotheca closterium,764
PO_201705,Dendraster excentricus,11
PO_201705,Dictyocha speculum,713
PO_201705,Ditylum brightwellii,884
PO_201705,Dolichomastix tenuilepis,7
PO_201705,Emiliania huxleyi,156
PO_201705,Gracilaria vermiculophylla,37
PO_201705,Hypomesus pretiosus,10
PO_201705,Lichtheimia ramosa,6
PO_201705,Littorina plena,19
PO_201705,Macoma nasuta,290
PO_201705,Micromonas pusilla,9370
PO_201705,Minutocellus polymorphus,87
PO_201705,Mytilus trossulus,93
PO_201705,Nitzschia cf. promare,38
PO_201705,Nitzschia longissima,39
PO_201705,Nuttallia olivacea,8
PO_201705,Paracalanus sp. C AC-2013,209
PO_201705,Protoperidinium cf. depressum,381
PO_201705,Pseudochattonella farcimen,24
PO_201705,Pythium tracheiphilum,51
PO_201705,Saprolegnia diclina,324
PO_201705,Skeletonema japonicum,21
PO_201705,Thalassiosira nordenskioeldii,8354
PO_201705,Thalassiosira punctigera,6
PO_201705,Triparma laevis,42
PO_201705,NA,339011
PO_201706,Aequorea sp. MW-2012,612
PO_201706,Albugo candida,18
PO_201706,Asterionellopsis guyunusae,137
PO_201706,Attheya longicornis,41
PO_201706,Bathycoccus prasinos,20326
PO_201706,Blastocladiella emersonii,232
PO_201706,Calanus pacificus,1172
PO_201706,Chaetoceros socialis,161
PO_201706,Chaetoceros sp. MBTD-CMFRI-S062,7
PO_201706,Chattonella subsalsa,315
PO_201706,Chordariaceae sp. 7 AP-2014,27
PO_201706,Chrysochromulina sp. CCMP291,412
PO_201706,Cylindrotheca closterium,5693
PO_201706,Cymatogaster aggregata,105
PO_201706,Cymbomonas tetramitiformis,599
PO_201706,Dendraster excentricus,3559
PO_201706,Ditylum brightwellii,63
PO_201706,Dolichomastix tenuilepis,228
PO_201706,Emiliania huxleyi,18608
PO_201706,Fucus distichus,4
PO_201706,Gracilaria vermiculophylla,188
PO_201706,Haramonas dimorpha,325
PO_201706,Hemigrapsus oregonensis,6
PO_201706,Leitoscoloplos pugettensis CMC01,369
PO_201706,Lichtheimia ramosa,10
PO_201706,Littorina plena,3
PO_201706,Mayamaea permitis,22
PO_201706,Micromonas pusilla,28490
PO_201706,Minutocellus polymorphus,8926
PO_201706,Monocorophium acherusicum,7
PO_201706,Musculista senhousia,17
PO_201706,Myrionema balticum,9
PO_201706,Mytilus trossulus,88
PO_201706,Navicula cryptocephala,233
PO_201706,Navicula sp. BOLD:AAO6951,65
PO_201706,Nitzschia cf. promare,135
PO_201706,Nitzschia longissima,63
PO_201706,Nitzschia palea,15
PO_201706,Nuttallia olivacea,701
PO_201706,Paracalanus sp. C AC-2013,597
PO_201706,Parvamoeba rugata,3
PO_201706,Pedospumella sinomuralis,33
PO_201706,Phaeocystis antarctica,1363
PO_201706,Phytophthora multivora,60
PO_201706,Platynereis sp. CMC02,13
PO_201706,Poteriospumella lacustris,727
PO_201706,Prasinoderma coloniale,8681
PO_201706,Protoperidinium cf. depressum,167
PO_201706,Pseudo-nitzschia hasleana,62
PO_201706,Pseudochattonella farcimen,13990
PO_201706,Pythium sp. CAL-2011c,45
PO_201706,Pythium tracheiphilum,1219
PO_201706,Rhizosolenia setigera,40814
PO_201706,Ruditapes philippinarum,9
PO_201706,Saprolegnia diclina,49
PO_201706,Skeletonema dohrnii,43164
PO_201706,Thalassionema nitzschioides,25
PO_201706,Thalassiosira nordenskioeldii,9580
PO_201706,Thecamonas trahens,3
PO_201706,Triparma laevis,4822
PO_201706,NA,562933
PO_201707,Balanus glandula,4
PO_201707,Barantolla americana CMC01,116
PO_201707,Bathycoccus prasinos,89799
PO_201707,Caulacanthus ustulatus,182
PO_201707,Chrysochromulina sp. CCMP291,4
PO_201707,Crassostrea gigas,189
PO_201707,Cylindrotheca closterium,2126
PO_201707,Cymbomonas tetramitiformis,12
PO_201707,Dendraster excentricus,5
PO_201707,Emiliania huxleyi,295881
PO_201707,Gallus gallus,144
PO_201707,Gracilaria vermiculophylla,185
PO_201707,Harpacticoida sp. DNZ085,59
PO_201707,Homo sapiens,258
PO_201707,Leucocryptos marina,46
PO_201707,Lichtheimia ramosa,61
PO_201707,Littorina plena,46
PO_201707,Littorina scutulata,74
PO_201707,Micromonas pusilla,119649
PO_201707,Minutocellus polymorphus,211691
PO_201707,Monocorophium acherusicum,105
PO_201707,Navicula cryptocephala,28
PO_201707,Navicula sp. BOLD:AAO6951,58
PO_201707,Nereis vexillosa,36
PO_201707,Nitzschia palea,114
PO_201707,Obelia bidentata,7
PO_201707,Ostrea lurida,29895
PO_201707,Paracalanus sp. C AC-2013,83
PO_201707,Platichthys stellatus,21
PO_201707,Poteriospumella lacustris,46
PO_201707,Prasinoderma coloniale,123
PO_201707,Pseudochattonella farcimen,59
PO_201707,Pythium sp. CAL-2011c,3
PO_201707,Rhizosolenia setigera,4
PO_201707,Ruditapes philippinarum,1424
PO_201707,Saprolegnia diclina,3
PO_201707,Skeletonema dohrnii,9
PO_201707,Stiliger fuscovittatus,7
PO_201707,Thalassiosira nordenskioeldii,216
PO_201707,Triparma laevis,304
PO_201707,NA,362575
PO_201708,Balanus balanus,3
PO_201708,Balanus glandula,13
PO_201708,Bathycoccus prasinos,95348
PO_201708,Botrylloides violaceus,450
PO_201708,Caulacanthus ustulatus,469
PO_201708,Chordariaceae sp. 2 AP-2014,45
PO_201708,Chrysochromulina sp. CCMP291,17
PO_201708,Cliona chilensis,107
PO_201708,Crassostrea gigas,3
PO_201708,Cylindrotheca closterium,782
PO_201708,Cymbomonas tetramitiformis,167
PO_201708,Dolichomastix tenuilepis,8
PO_201708,Emiliania huxleyi,25627
PO_201708,Gallus gallus,14
PO_201708,Gelidiophycus freshwateri,297
PO_201708,Gracilaria vermiculophylla,77
PO_201708,Halichondria panicea,78
PO_201708,Haramonas dimorpha,8
PO_201708,Harpacticoida sp. DNZ085,10317
PO_201708,Hematodinium sp.,3
PO_201708,Hemigrapsus oregonensis,38
PO_201708,Hemipodia simplex,1623
PO_201708,Heterocapsa rotundata,375
PO_201708,Heterosigma akashiwo,98
PO_201708,Homo sapiens,154
PO_201708,Lomentaria hakodatensis,9
PO_201708,Micromonas pusilla,273689
PO_201708,Minutocellus polymorphus,9860
PO_201708,Monocorophium acherusicum,29
PO_201708,Navicula cryptocephala,85
PO_201708,Ostrea lurida,3447
PO_201708,Paracalanus sp. C AC-2013,16475
PO_201708,Phaeocystis antarctica,11
PO_201708,Podosira stelligera,120
PO_201708,Porichthys notatus,30
PO_201708,Poteriospumella lacustris,138
PO_201708,Prasinoderma coloniale,1126
PO_201708,Pseudochattonella farcimen,5783
PO_201708,Pycnococcus provasolii,9
PO_201708,Pythium sp. CAL-2011c,20
PO_201708,Rhinogobiops nicholsii,130
PO_201708,Rhizosolenia setigera,40
PO_201708,Saprolegnia diclina,127
PO_201708,Sarcodiotheca sp. 2gaudichaudii,39
PO_201708,Saxidomus gigantea,3
PO_201708,Skeletonema dohrnii,6
PO_201708,Skeletonema japonicum,13
PO_201708,Thalassionema nitzschioides,25
PO_201708,Thalassiosira nordenskioeldii,16
PO_201708,Thalassiosira punctigera,200
PO_201708,Triparma laevis,215
PO_201708,NA,671003
PO_201709,Apodachlya minima,25
PO_201709,Asterionellopsis guyunusae,1936
PO_201709,Bathycoccus prasinos,11053
PO_201709,Brachionidae sp. SHYT150702c,75
PO_201709,Cafeteria roenbergensis,52
PO_201709,Calanus pacificus,1080
PO_201709,Caulacanthus ustulatus,21
PO_201709,Centropages abdominalis,2
PO_201709,Chaetoceros socialis,6502
PO_201709,Chattonella subsalsa,63
PO_201709,Chrysochromulina sp. CCMP291,2184
PO_201709,Coscinodiscus wailesii,30
PO_201709,Crassostrea gigas,24
PO_201709,Cylindrotheca closterium,78
PO_201709,Cymatogaster aggregata,15
PO_201709,Cymbomonas tetramitiformis,5
PO_201709,Dictyocha speculum,5035
PO_201709,Ditylum brightwellii,39
PO_201709,Dolichomastix tenuilepis,12
PO_201709,Emiliania huxleyi,5226
PO_201709,Gracilaria vermiculophylla,2640
PO_201709,Halicyclops itohi,112
PO_201709,Haptoglossa sp. DM2 4/12,33
PO_201709,Hincksia hincksiae,83
PO_201709,Homo sapiens,201
PO_201709,Karlodinium veneficum,30
PO_201709,Keratella cochlearis,132
PO_201709,Micromonas pusilla,17087
PO_201709,Minutocellus polymorphus,49886
PO_201709,Muggiaea atlantica,6
PO_201709,Nereis vexillosa,1792
PO_201709,Nitzschia palea,228
PO_201709,Oncorhynchus keta,15
PO_201709,Paracalanus sp. C AC-2013,345
PO_201709,Pedospumella sinomuralis,107
PO_201709,Phaeocystis globosa,1110
PO_201709,Phytophthora multivora,137
PO_201709,Poteriospumella lacustris,8
PO_201709,Prasinoderma coloniale,1280
PO_201709,Protoperidinium cf. depressum,38
PO_201709,Pseudochattonella farcimen,1668
PO_201709,Pythium pachycaule,93
PO_201709,Pythium tracheiphilum,395
PO_201709,Rhizosolenia setigera,4
PO_201709,Ruditapes philippinarum,16
PO_201709,Saxidomus gigantea,540
PO_201709,Skeletonema dohrnii,25278
PO_201709,Thalassiosira nordenskioeldii,9889
PO_201709,Thalassiosira punctigera,34
PO_201709,Triparma laevis,1347
PO_201709,NA,471012
PO_201711,Acartia longiremis,8
PO_201711,Articulospora tetracladia,77
PO_201711,Asterionellopsis guyunusae,5
PO_201711,Attheya longicornis,33
PO_201711,Aurelia labiata,133
PO_201711,Balanus glandula,222
PO_201711,Bathycoccus prasinos,789
PO_201711,Brachionidae sp. SHYT150702c,351
PO_201711,Bursaphelenchus cocophilus,75
PO_201711,Callithamnion corymbosum,2
PO_201711,Cancer productus,551
PO_201711,Centropages abdominalis,24
PO_201711,Chaetoceros socialis,3820
PO_201711,Chattonella subsalsa,1054
PO_201711,Chrysochromulina sp. CCMP291,558
PO_201711,Cochliopodium sp. SG-2014,176
PO_201711,Coscinodiscus wailesii,4
PO_201711,Cunea thuwala,94
PO_201711,Cylindrotheca closterium,42
PO_201711,Dendraster excentricus,453
PO_201711,Dialonectria episphaeria,57
PO_201711,Dictyocha speculum,442
PO_201711,Ditylum brightwellii,801
PO_201711,Emiliania huxleyi,1624
PO_201711,Fucus distichus,10
PO_201711,Galactomyces candidum,86
PO_201711,Gracilaria vermiculophylla,500
PO_201711,Halophytophthora avicenniae,197
PO_201711,Hartmannella cantabrigiensis,124
PO_201711,Heterocapsa rotundata,246
PO_201711,Hildenbrandia sp. 27GWS,45
PO_201711,Homo sapiens,7245
PO_201711,Hypomesus pretiosus,33
PO_201711,Lichtheimia ramosa,19
PO_201711,Melosira ambiqua,43
PO_201711,Melosira nummuloides,19913
PO_201711,Micromonas pusilla,3279
PO_201711,Minutocellus polymorphus,1432
PO_201711,Muggiaea atlantica,60
PO_201711,Mytilus trossulus,6616
PO_201711,Nassarius mendicus,8880
PO_201711,Navicula cryptocephala,343
PO_201711,Oncorhynchus keta,43488
PO_201711,Ostrea lurida,124
PO_201711,Paracalanus sp. C AC-2013,113
PO_201711,Paramoeba pemaquidensis,8
PO_201711,Pedospumella sinomuralis,560
PO_201711,Penicillium sclerotiorum,74
PO_201711,Petalonia fascia,28
PO_201711,Phaeocystis antarctica,21
PO_201711,Phaeocystis globosa,33
PO_201711,Phytophthora megasperma,290
PO_201711,Phytophthora multivora,4
PO_201711,Pinnularia parvulissima,3093
PO_201711,Protoperidinium cf. depressum,64
PO_201711,Pseudo-nitzschia cuspidata,33
PO_201711,Pseudobradya attenuata,467
PO_201711,Pseudochattonella farcimen,16544
PO_201711,Pyramimonas parkeae,5
PO_201711,Pythium periplocum,25
PO_201711,Pythium tracheiphilum,396
PO_201711,Rhizosolenia setigera,15
PO_201711,Ruditapes philippinarum,99
PO_201711,Saprolegnia diclina,6
PO_201711,Skeletonema dohrnii,251
PO_201711,Skeletonema japonicum,13
PO_201711,Spongospora subterranea,50
PO_201711,Synchaetomella acerina,46
PO_201711,Thalassiosira nordenskioeldii,933
PO_201711,Trebouxia aggregata,18
PO_201711,Triparma laevis,22
PO_201711,NA,250225
PO_201801,Albugo candida,15
PO_201801,Amphicaryon earnesti,35
PO_201801,Attheya longicornis,159
PO_201801,Balanus balanus,201
PO_201801,Bathycoccus prasinos,45125
PO_201801,Calanus pacificus,1219
PO_201801,Carcinonemertes errans,27
PO_201801,Chattonella subsalsa,306
PO_201801,Chrysaora melanaster,19
PO_201801,Chrysochromulina sp. CCMP291,2
PO_201801,Cochliopodium larifeili,18
PO_201801,Coscinodiscus wailesii,9
PO_201801,Cylindrotheca closterium,11557
PO_201801,Dictyocha speculum,286
PO_201801,Ditylum brightwellii,601
PO_201801,Hincksia hincksiae,3402
PO_201801,Homo sapiens,585
PO_201801,Lichtheimia ramosa,7
PO_201801,Littorina plena,21887
PO_201801,Melosira ambiqua,249
PO_201801,Melosira nummuloides,11716
PO_201801,Micromonas pusilla,27075
PO_201801,Minutocellus polymorphus,14639
PO_201801,Nanomia cara,56
PO_201801,Navicula cryptocephala,313
PO_201801,Navicula sp. BOLD:AAO6949,10
PO_201801,Nitzschia cf. promare,7012
PO_201801,Nitzschia cf. recta RT-2009,27
PO_201801,Ostrea lurida,3
PO_201801,Paracalanus sp. C AC-2013,86
PO_201801,Pedospumella sinomuralis,281
PO_201801,Petalonia fascia,117
PO_201801,Phaeocystis antarctica,4656
PO_201801,Phaeocystis globosa,431
PO_201801,Pinnularia parvulissima,1840
PO_201801,Plagiogramma sp. IAL-2014a,3
PO_201801,Protoperidinium cf. depressum,22
PO_201801,Pseudo-nitzschia cuspidata,4
PO_201801,Pycnococcus provasolii,206
PO_201801,Rhizosolenia setigera,1509
PO_201801,Ruditapes philippinarum,29
PO_201801,Skeletonema dohrnii,289
PO_201801,Thalassionema nitzschioides,177
PO_201801,Thalassiosira nordenskioeldii,626
PO_201801,Triparma laevis,245
PO_201801,NA,133558
PO_201803,Alitta sp. CMC01,16
PO_201803,Asterionellopsis guyunusae,132
PO_201803,Attheya longicornis,283
PO_201803,Balanus balanus,7677
